observation file: /projects/0/dfguu/users/edwin/data/observation_data/grdc_monthly_data_splitted//04/2651100.mon
nPairs;avg_obs;avg_sim;KGE_2009;KGE_2012;NSeff;NSeff_log;rmse;mae;bias;R2;R2ad;correlation
154;20939.2987012987;19785.6497501522;0.911733165714118;0.880934080312932;0.875843701600041;0.88686233626437;6088.4473187846;4112.12519341011;-1153.64895114651;0.888719147826974;0.887987036957414;0.942719018492241
date;observation;simulation
1960-01-15;NA;3788.62719726562
1960-02-15;NA;2971.00512695312
1960-03-15;NA;2877.33422851562
1960-04-15;NA;3676.75537109375
1960-05-15;NA;8642.3330078125
1960-06-15;NA;26167.77734375
1960-07-15;NA;55352.6640625
1960-08-15;NA;30185.791015625
1960-09-15;NA;54605.515625
1960-10-15;NA;12204.8896484375
1960-11-15;NA;6343.04052734375
1960-12-15;NA;4197.71484375
1961-01-15;NA;3219.3154296875
1961-02-15;NA;3905.49487304688
1961-03-15;NA;5862.64013671875
1961-04-15;NA;5750.81689453125
1961-05-15;NA;17478.76953125
1961-06-15;NA;26337.587890625
1961-07-15;NA;36541.05078125
1961-08-15;NA;31682.939453125
1961-09-15;NA;27807.673828125
1961-10-15;NA;18271.626953125
1961-11-15;NA;7678.451171875
1961-12-15;NA;4502.46533203125
1962-01-15;NA;3307.12670898438
1962-02-15;NA;3010.74853515625
1962-03-15;NA;3057.529296875
1962-04-15;NA;5541.58837890625
1962-05-15;NA;12218.2529296875
1962-06-15;NA;40623.125
1962-07-15;NA;41680.765625
1962-08-15;NA;65350.6640625
1962-09-15;NA;25208.34765625
1962-10-15;NA;12006.8115234375
1962-11-15;NA;7489.2470703125
1962-12-15;NA;4385.310546875
1963-01-15;NA;3065.1396484375
1963-02-15;NA;2582.81201171875
1963-03-15;NA;3619.60180664062
1963-04-15;NA;5714.70166015625
1963-05-15;NA;11048.7119140625
1963-06-15;NA;29088.22265625
1963-07-15;NA;46449.00390625
1963-08-15;NA;57135.38671875
1963-09-15;NA;21689.626953125
1963-10-15;NA;16297.2490234375
1963-11-15;NA;6750.7041015625
1963-12-15;NA;4377.384765625
1964-01-15;NA;3550.53369140625
1964-02-15;NA;2584.93408203125
1964-03-15;NA;3046.61279296875
1964-04-15;NA;8535.7236328125
1964-05-15;NA;13932.46484375
1964-06-15;NA;47556.5
1964-07-15;NA;54184.2578125
1964-08-15;NA;45594.95703125
1964-09-15;NA;38631.17578125
1964-10-15;NA;21565.0859375
1964-11-15;NA;7606.27685546875
1964-12-15;NA;5524.65234375
1965-01-15;NA;3874.13012695312
1965-02-15;NA;4041.48022460938
1965-03-15;NA;2875.091796875
1965-04-15;NA;6041.7958984375
1965-05-15;NA;15003.744140625
1965-06-15;NA;31032.845703125
1965-07-15;NA;39419.25390625
1965-08-15;NA;51938.7421875
1965-09-15;NA;32844.1328125
1965-10-15;NA;11643.978515625
1965-11-15;NA;9548.861328125
1965-12-15;NA;4686.3837890625
1966-01-15;NA;3639.60375976562
1966-02-15;NA;3107.99267578125
1966-03-15;NA;2987.34204101562
1966-04-15;NA;4751.1435546875
1966-05-15;NA;11290.08203125
1966-06-15;NA;41492.13671875
1966-07-15;NA;50303.234375
1966-08-15;NA;46129.73828125
1966-09-15;NA;30390.509765625
1966-10-15;NA;15640.341796875
1966-11-15;NA;6499.8896484375
1966-12-15;NA;4899.92138671875
1967-01-15;NA;3319.32495117188
1967-02-15;NA;2886.12915039062
1967-03-15;NA;4249.2529296875
1967-04-15;NA;4478.28759765625
1967-05-15;NA;9233.4013671875
1967-06-15;NA;24823.181640625
1967-07-15;NA;46994.0078125
1967-08-15;NA;26306.70703125
1967-09-15;NA;24225.09375
1967-10-15;NA;18724.875
1967-11-15;NA;6080.21435546875
1967-12-15;NA;4012.20361328125
1968-01-15;NA;3326.20043945312
1968-02-15;NA;2588.4775390625
1968-03-15;NA;3186.6171875
1968-04-15;NA;7626.6162109375
1968-05-15;NA;9755.48046875
1968-06-15;NA;43343.8671875
1968-07-15;NA;52248.70703125
1968-08-15;NA;34893.015625
1968-09-15;NA;27996.712890625
1968-10-15;NA;24640.056640625
1968-11-15;NA;6538.04248046875
1968-12-15;NA;4192.93212890625
1969-01-15;4310;3208.7060546875
1969-02-15;4280;2727.68896484375
1969-03-15;4230;3292.21850585938
1969-04-15;6270;5703.06787109375
1969-05-15;11960;12110.7822265625
1969-06-15;28840;39600.8984375
1969-07-15;47040;41114.66015625
1969-08-15;35560;45534.18359375
1969-09-15;52760;32397.794921875
1969-10-15;15000;11435.17578125
1969-11-15;8680;6636.02490234375
1969-12-15;5990;4163.95166015625
1970-01-15;4590;3292.15209960938
1970-02-15;4140;3101.103515625
1970-03-15;4980;3853.36450195312
1970-04-15;9548;8265.501953125
1970-05-15;20860;20630.5859375
1970-06-15;33320;44664.02734375
1970-07-15;50400;52315.234375
1970-08-15;48160;35969.66015625
1970-09-15;33600;35830.08984375
1970-10-15;29120;27306.244140625
1970-11-15;12800;9202.1552734375
1970-12-15;6520;5183.74462890625
1971-01-15;4340;3840.11743164062
1971-02-15;3470;3693.20483398438
1971-03-15;3390;3046.08569335938
1971-04-15;NA;5801.87548828125
1971-05-15;NA;7903.203125
1971-06-15;NA;32665.5703125
1971-07-15;NA;40418.453125
1971-08-15;NA;45955.61328125
1971-09-15;NA;24989.12109375
1971-10-15;NA;31830.708984375
1971-11-15;NA;9642.5791015625
1971-12-15;NA;5119.494140625
1972-01-15;NA;4045.56860351562
1972-02-15;NA;6315.27685546875
1972-03-15;NA;4257.8056640625
1972-04-15;7140;6350.70751953125
1972-05-15;7530;24669.958984375
1972-06-15;32480;33743.1796875
1972-07-15;NA;38114.1796875
1972-08-15;36680;33364.58984375
1972-09-15;NA;28346.90234375
1972-10-15;16210;13057.8935546875
1972-11-15;8624;5781.41943359375
1972-12-15;5040;3852.99243164062
1973-01-15;3880;3160.45825195312
1973-02-15;3314;2578.49633789062
1973-03-15;4022;3016.05517578125
1973-04-15;7108;7191.99560546875
1973-05-15;14300;17594.33203125
1973-06-15;37100;46835.046875
1973-07-15;31900;32144.04296875
1973-08-15;45300;42326.625
1973-09-15;30500;37899.8359375
1973-10-15;24400;19042.458984375
1973-11-15;10420;9036.634765625
1973-12-15;5523;5512.36865234375
1974-01-15;3954;4145.9638671875
1974-02-15;3597;3526.541015625
1974-03-15;4135;3457.06713867188
1974-04-15;6786;8437.78125
1974-05-15;17210;19773.59765625
1974-06-15;30870;47484.62890625
1974-07-15;56190;76341.1015625
1974-08-15;48970;55043.390625
