observation file: /projects/0/dfguu/users/edwin/data/observation_data/grdc_monthly_data_splitted//04/2646100.mon
nPairs;avg_obs;avg_sim;KGE_2009;KGE_2012;NSeff;NSeff_log;rmse;mae;bias;R2;R2ad;correlation
71;11592.9295774648;15332.7181559818;0.620655319125921;0.741070185795047;0.564642116153449;0.828130886209032;8534.39005131964;4543.56542538925;3739.788578517;0.862864446492355;0.860876974702389;0.928904971723349
date;observation;simulation
1960-01-15;NA;2399.64013671875
1960-02-15;NA;1653.79064941406
1960-03-15;NA;1593.35339355469
1960-04-15;NA;1756.08117675781
1960-05-15;NA;1330.63269042969
1960-06-15;NA;7051.81787109375
1960-07-15;NA;31263.708984375
1960-08-15;NA;53600.0234375
1960-09-15;NA;58752.3984375
1960-10-15;NA;29216.525390625
1960-11-15;NA;10333.1806640625
1960-12-15;NA;3949.630859375
1961-01-15;NA;2606.95263671875
1961-02-15;NA;3883.275390625
1961-03-15;NA;2439.60083007812
1961-04-15;NA;996.439697265625
1961-05-15;NA;2104.54711914062
1961-06-15;NA;13460.6650390625
1961-07-15;NA;26325.52734375
1961-08-15;NA;49523.078125
1961-09-15;NA;50998.2421875
1961-10-15;NA;48663.26953125
1961-11-15;NA;15927.96484375
1961-12-15;NA;7036.78369140625
1962-01-15;NA;4171.86865234375
1962-02-15;NA;3617.22021484375
1962-03-15;NA;3871.3623046875
1962-04-15;NA;1413.57202148438
1962-05-15;NA;2833.20239257812
1962-06-15;NA;8742.5810546875
1962-07-15;NA;24062.99609375
1962-08-15;NA;53891.2578125
1962-09-15;NA;44716.125
1962-10-15;NA;28930.82421875
1962-11-15;NA;8533.0830078125
1962-12-15;NA;3934.90771484375
1963-01-15;NA;2213.529296875
1963-02-15;NA;1434.09143066406
1963-03-15;NA;1347.48645019531
1963-04-15;NA;1283.92846679688
1963-05-15;NA;3342.20068359375
1963-06-15;NA;10264.9716796875
1963-07-15;NA;32934.40625
1963-08-15;NA;43787.16796875
1963-09-15;NA;48086.140625
1963-10-15;NA;24546.69140625
1963-11-15;NA;9158.9697265625
1963-12-15;NA;3900.96557617188
1964-01-15;NA;2190.48120117188
1964-02-15;NA;1278.48974609375
1964-03-15;NA;1136.17553710938
1964-04-15;NA;577.246765136719
1964-05-15;NA;4077.61791992188
1964-06-15;NA;3167.97241210938
1964-07-15;NA;38660.66015625
1964-08-15;NA;49559.7890625
1964-09-15;NA;65218.55859375
1964-10-15;NA;22156.79296875
1964-11-15;NA;7944.2265625
1964-12-15;NA;3344.78369140625
1965-01-15;NA;2144.15502929688
1965-02-15;NA;1078.40710449219
1965-03-15;NA;2076.86401367188
1965-04-15;NA;2260.11083984375
1965-05-15;NA;1211.48449707031
1965-06-15;NA;4530.40185546875
1965-07-15;NA;20245.15234375
1965-08-15;NA;38803.43359375
1965-09-15;NA;35570.578125
1965-10-15;NA;12355.201171875
1965-11-15;NA;4975.59619140625
1965-12-15;NA;1761.46740722656
1966-01-15;NA;1164.38024902344
1966-02-15;NA;685.879028320312
1966-03-15;NA;840.068176269531
1966-04-15;NA;398.828826904297
1966-05-15;NA;1449.53479003906
1966-06-15;NA;3539.46899414062
1966-07-15;NA;21323.08984375
1966-08-15;NA;46919.984375
1966-09-15;NA;30123.33203125
1966-10-15;NA;9015.5615234375
1966-11-15;NA;3160.7958984375
1966-12-15;NA;1897.93237304688
1967-01-15;NA;907.853515625
1967-02-15;NA;509.914581298828
1967-03-15;NA;699.981750488281
1967-04-15;NA;1356.17114257812
1967-05-15;NA;2774.71899414062
1967-06-15;NA;4519.17529296875
1967-07-15;NA;31935.279296875
1967-08-15;NA;46040.0390625
1967-09-15;NA;61457.2265625
1967-10-15;NA;21123.24609375
1967-11-15;NA;7300.2109375
1967-12-15;NA;3808.67700195312
1968-01-15;NA;3900.29418945312
1968-02-15;NA;2480.93505859375
1968-03-15;NA;2388.81103515625
1968-04-15;NA;1446.71447753906
1968-05-15;NA;2703.30224609375
1968-06-15;NA;8299.3486328125
1968-07-15;NA;37270.69921875
1968-08-15;NA;49188.67578125
1968-09-15;NA;25576.474609375
1968-10-15;NA;25428.75390625
1968-11-15;NA;5987.85498046875
1968-12-15;NA;2621.58569335938
1969-01-15;2700;1731.6142578125
1969-02-15;2180;1161.93933105469
1969-03-15;1840;910.804870605469
1969-04-15;1730;607.125732421875
1969-05-15;1880;2481.7626953125
1969-06-15;17080;9094.2822265625
1969-07-15;16436;30380.591796875
1969-08-15;43400;64947
1969-09-15;33880;50167.1953125
1969-10-15;18340;22763.169921875
1969-11-15;7170;8592.15625
1969-12-15;4480;3976.38647460938
1970-01-15;3020;2421.48950195312
1970-02-15;2630;2352.94970703125
1970-03-15;2480;2508.96264648438
1970-04-15;2180;1211.64990234375
1970-05-15;2280;2292.48022460938
1970-06-15;4732;10379.98828125
1970-07-15;19236;39246.421875
1970-08-15;33040;34708.37890625
1970-09-15;33880;42811.796875
1970-10-15;15036;23914.607421875
1970-11-15;6190;8380.2890625
1970-12-15;3780;3266.6796875
1971-01-15;2610;1845.34533691406
1971-02-15;2270;1670.25476074219
1971-03-15;NA;1877.07800292969
1971-04-15;NA;3174.69287109375
1971-05-15;NA;3583.0244140625
1971-06-15;NA;28956.212890625
1971-07-15;NA;49281.41796875
1971-08-15;NA;69526.2734375
1971-09-15;NA;60572.05859375
1971-10-15;NA;28097.94921875
1971-11-15;NA;13309.4951171875
1971-12-15;NA;6094.42919921875
1972-01-15;NA;3175.43432617188
